Feature,ClassA,ClassB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,MannWhitney_p,CohenD,CliffsDelta,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Reconstructed_PS_Eig2__median,0,1,7,8,1.655209244540875,2.3886261202830656,1.4940375555751102,2.500699473136022,0.054079254079254076,-1.2642864048247857,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.2642864048247857
VMD_Reconstructed_PS_EigRatio12__std,0,1,7,8,1.621244716095068,6.344169229848044,1.609974461844894,5.125345789121989,0.054079254079254076,-1.2271959784713544,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.2271959784713544
VMD_Reconstructed_Kurtosis__std,0,1,7,8,3.3652154456608847,5.892633064436156,3.126081809519046,6.516415664180645,0.054079254079254076,-1.1940397455796026,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.1940397455796026
VMD_Reconstructed_PS_LogVolume__iqr,0,1,7,8,3.497651265844669,6.397848787329567,3.8189912656083167,6.944506003974802,0.054079254079254076,-1.185555824807864,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.185555824807864
VMD_Mode4_EmbeddingDim__std,0,1,7,8,0.2237127443403945,0.35884315111707976,0.2425356250363329,0.3128481079614014,0.054079254079254076,-1.1112318112769208,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.1112318112769208
Pressure_Clean_PS_Eig2__median,0,1,7,8,1.880120510656143,2.7125145029329887,1.7166529880821122,2.659648157320383,0.054079254079254076,-1.1055012599786194,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.1055012599786194
VMD_Reconstructed_PS_StepStd__std,0,1,7,8,0.28484655046444834,0.6185437164458654,0.2554163507560026,0.5934270476141847,0.054079254079254076,-1.0941886603096502,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.0941886603096502
Pressure_Clean_PFD__mean,0,1,7,8,1.0210153778486577,1.0232160116858022,1.0209756079076266,1.0228155592245258,0.054079254079254076,-1.083254961757336,-0.6071428571428571,0.3049039849039849,0.6071428571428571,1.083254961757336
Pressure_Clean_PS_StepStd__median,0,1,7,8,0.6227091260453079,0.8369410902413754,0.6208135801264861,0.7726920409102376,0.054079254079254076,-0.9359776709396656,-0.6071428571428571,0.3049039849039849,0.6071428571428571,0.9359776709396656
Pressure_Clean_PS_StepStd__iqr,0,1,7,8,0.4486368889068776,0.8730983949961282,0.4799771411018705,0.641300884957027,0.054079254079254076,-0.9180264460673027,-0.6071428571428571,0.3049039849039849,0.6071428571428571,0.9180264460673027
VMD_Reconstructed_PS_Eig2__std,0,1,7,8,4.597986606949838,22.992409905216206,4.016703960332137,11.281006499777224,0.054079254079254076,-0.7959707655915041,-0.6071428571428571,0.3049039849039849,0.6071428571428571,0.7959707655915041
Pressure_Clean_PS_Eig2__iqr,0,1,7,8,2.4370592847972037,7.698072556264932,2.214736377393971,4.637091551862163,0.054079254079254076,-0.7709112105673742,-0.6071428571428571,0.3049039849039849,0.6071428571428571,0.7709112105673742
VMD_Reconstructed_PS_Eig2__iqr,0,1,7,8,2.220587203434962,7.810224880795943,2.497902700612632,5.690188109753866,0.054079254079254076,-0.7514371543781302,-0.6071428571428571,0.3049039849039849,0.6071428571428571,0.7514371543781302
Pressure_Clean_IQR__median,0,1,7,8,0.7902314627615924,0.4654712748186842,0.672346483567992,0.46895669813685004,0.0721056721056721,1.2419583862326644,0.5714285714285714,0.34988981874227776,0.5714285714285714,1.2419583862326644
VMD_Mode4_SampEn__iqr,0,1,7,8,0.10548244122840632,0.18599913863600562,0.1043659946007346,0.1583300854241919,0.0721056721056721,-1.2410660321908744,-0.5714285714285714,0.34988981874227776,0.5714285714285714,1.2410660321908744
VMD_Mode4_IQR__median,0,1,7,8,0.24778636860164563,0.1242634975109157,0.157900332187617,0.1057438666338441,0.0721056721056721,1.2025183486307829,0.5714285714285714,0.34988981874227776,0.5714285714285714,1.2025183486307829
VMD_Reconstructed_PS_EigRatio12__iqr,0,1,7,8,1.1640058544875838,2.217862728569326,1.1082885319884594,1.9891520734915074,0.0721056721056721,-1.1468974105411673,-0.5714285714285714,0.34988981874227776,0.5714285714285714,1.1468974105411673
VMD_Reconstructed_RQA_L_max__std,0,1,7,8,11.490571758536452,15.741116052586893,10.112161685489824,15.03287870816893,0.0721056721056721,-1.1232279606132,-0.5714285714285714,0.34988981874227776,0.5714285714285714,1.1232279606132
Pressure_Clean_PS_StateSpread__median,0,1,7,8,2.392893965625927,2.813230984475891,2.304279260950929,2.7585149556560022,0.0721056721056721,-1.1184382930856642,-0.5714285714285714,0.34988981874227776,0.5714285714285714,1.1184382930856642
Pressure_Clean_RQA_DET__std,0,1,7,8,0.13615674011373344,0.17005311655413252,0.1367949140002312,0.163680190411849,0.0721056721056721,-1.1149852128069173,-0.5714285714285714,0.34988981874227776,0.5714285714285714,1.1149852128069173
VMD_Mode4_IQR__mean,0,1,7,8,0.2761516534479565,0.16067178922549097,0.2106603592869,0.15041283770151614,0.0721056721056721,1.087817921656264,0.5714285714285714,0.34988981874227776,0.5714285714285714,1.087817921656264
VMD_Mode3_SampEn__mean,0,1,7,8,0.48796206728303826,0.42317711810271347,0.4851467402121469,0.41817138988961305,0.0721056721056721,1.0678383835331384,0.5714285714285714,0.34988981874227776,0.5714285714285714,1.0678383835331384
Pressure_Clean_RQA_DET__iqr,0,1,7,8,0.184631047808095,0.2568581983403236,0.1741073910975088,0.2501904165429423,0.0721056721056721,-1.0673288581902605,-0.5714285714285714,0.34988981874227776,0.5714285714285714,1.0673288581902605
VMD_Mode4_RQA_TT__mean,0,1,7,8,4.05476995013356,4.505666037891154,3.934345289605981,4.568012741224637,0.0721056721056721,-0.9935274972433857,-0.5714285714285714,0.34988981874227776,0.5714285714285714,0.9935274972433857
VMD_Mode4_RQA_V_mean__mean,0,1,7,8,4.05476995013356,4.505666037891154,3.934345289605981,4.568012741224637,0.0721056721056721,-0.9935274972433857,-0.5714285714285714,0.34988981874227776,0.5714285714285714,0.9935274972433857
VMD_Mode4_PS_StateSpread__median,0,1,7,8,1.70338740777671,1.8990063833445285,1.7127875779831516,1.872855366894929,0.0721056721056721,-0.9628023071513298,-0.5714285714285714,0.34988981874227776,0.5714285714285714,0.9628023071513298
